,Name,area,roofarea
0,sub0,805.4049315010844,0.0
1,sub1,3144.158185001492,1385.9472847290367
2,sub10,11034.176861509688,4150.022462313193
3,sub11,11616.956312999673,5708.615872596628
4,sub12,9494.236484501904,3306.9087513099194
5,sub14,9523.44436400406,5298.288032963532
6,sub15,17197.180122996593,5356.9065243949335
7,sub16,10474.330643496649,2929.9656884158962
8,sub17,8584.004891502362,1112.8760893835372
9,sub2,3278.031975004697,1386.183071617631
10,sub22,12329.095094999024,4007.625699659405
11,sub23,16811.129256495904,9351.363242082383
12,sub3,9266.783433999972,3709.43277689365
13,sub4,8482.480240004848,4803.0056943765785
14,sub5,11527.18209300175,3866.580335862783
15,sub60,13144.287213003146,6012.141451866951
16,sub61,18353.225282503136,6716.318396044619
17,sub62,27404.785602490607,11711.041594907718
18,sub63,22700.797878994435,8252.498884920493
19,sub64,24024.89587199765,10631.768978898706
20,sub65,27529.30921751147,9827.884494922795
21,sub66,46628.47172600904,19338.192776185035
22,sub67,18596.31851899655,7235.37232529952
23,sub68,27516.209903006373,13125.860466020245
24,sub69,37023.61520400217,15397.1383397415
25,sub7,3374.758446998929,1529.451021968813
26,sub70,28885.28026199031,10481.002657311868
27,sub71,26148.728655005038,14927.905383462532
28,sub72,13754.068402494253,6499.411814509755
29,sub8,6388.6836440049565,3170.7649338664737
30,sub9,4810.122052501631,2606.80229571454
